,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,Total Debt/Equity,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior 
0,0.0,0.0,OGE,0.0,0.0,0.0,0.0,0.0,82.26,10.55,2.89,1.70,27.38,22.57,3.13,16.97,11.32,6530000000.0,9500000000.0,15.50,2.75,4.20,12.11,2260000000.0,1360000000.0,784800000.0,619000000.0,3.10,409.20,-5.40,14400000.0,0.07,3170000000.0,0.52,19.28,784500000.0,0.82,0.20,63.90,2230000.0,1.9,1.26,1700000.0
1,0.0,0.0,CAVM,0.0,0.0,0.0,0.0,0.0,82.62,0,5.56,6.96,-7.00,-2.16,-0.82,-9.06,14.39,5470000000.0,6180000000.0,17.88,0.55,6.28,33.60,984020000.0,499580000.0,183860000.0,-68860000.0,-1.01,0,15.10,140500000.0,2.01,643040000.0,2.80,11.26,145890000.0,1.48,3.71,92.99,4570000.0,4.93,8.23,5110000.0
2,0.0,0.0,KKR,0.0,0.0,0.0,0.0,0.0,104.17,10.85,3.40,1.53,19.89,54.37,6.03,13.55,10.94,17400000000.0,29360000000.0,7.95,0.83,5.73,0,5120000000.0,2470000000.0,0.0,984940000.0,1.95,-2.60,40.90,2060000000.0,4.23,21520000000.0,1.62,13.79,-3630000000.0,2.11,1.16,73.16,9930000.0,4.13,2.24,10170000.0
3,0.0,0.0,DVN,0.0,0.0,0.0,0.0,0.0,74.23,21.02,1.37,2.03,6.53,7.33,2.14,8.04,26.45,18800000000.0,25470000000.0,15.95,0.36,1.85,7.58,13750000000.0,12130000000.0,3360000000.0,888000000.0,1.70,0,50.80,2670000000.0,5.08,10470000000.0,1.45,17.63,2910000000.0,2.88,0.44,85.71,11410000.0,2.06,2.18,11350000.0
4,0.0,0.0,NSP,0.0,0.0,0.0,0.0,0.0,157.42,38.58,0.99,48.50,2.56,3.94,8.24,133.08,80.36,3260000000.0,2720000000.0,22.35,1.30,0.82,18.88,3300000000.0,572730000.0,144020000.0,82890000.0,2.01,63.40,13.40,356220000.0,8.59,104400000.0,1.07,1.60,204420000.0,1.00,10.42,84.71,0,1.65,1.77,0
5,0.0,0.0,BIP,0.0,0.0,0.0,0.0,0.0,75.65,0,4.56,2.28,0.31,31.57,2.75,4.97,13.36,16129999999.999998,21070000000.0,15.10,0.48,5.96,11.79,3540000000.0,2029999999.9999998,1790000000.0,-19000000.0,-0.07,-76.00,45.30,513000000.0,1.86,10190000000.0,0.97,17.96,1480000000.0,0.83,1.20,50.03,1400000.0,5.49,0.00,1130000.0
6,0.0,0.0,GOOG,0.0,0.0,0.0,0.0,0.0,2.60,60.48,6.85,4.96,11.42,26.05,9.90,8.69,159.99,758910000000.0,617750000000.0,22.45,1.02,5.57,17.26,110850000000.0,0.0,35780000000.0,12660000000.0,18.00,0,24.00,101870000000.0,146.51,3970000000.0,5.14,219.50,37090000000.0,1.29,11.67,70.51,3650000.0,2.64,0.00,3600000.0
7,0.0,0.0,AFG,0.0,0.0,0.0,0.0,0.0,41.30,21.47,1.51,1.88,7.11,14.29,1.03,9.31,76.13,10070000000.0,9230000000.0,13.43,0.89,1.38,8.69,6680000000.0,1580000000.0,1060000000.0,475000000.0,5.28,-56.90,4.10,2750000000.0,31.08,2200000000.0,1.13,60.38,1800000000.0,0.62,18.95,64.76,1040000.0,2.83,1.47,0
8,0.0,0.0,RSPP,0.0,0.0,0.0,0.0,0.0,34.91,33.03,9.76,1.81,28.88,24.64,2.20,6.00,5.21,7850000000.0,9090000000.0,16.57,0.33,11.31,16.92,803710000.0,631910000.0,537450000.0,230980000.0,1.49,0,102.60,38100000.0,0.24,1510000000.0,0.72,27.25,498370000.0,1.74,13.75,90.77,9170000.0,3.83,6.80,8039999.999999999
9,0.0,0.0,BURL,0.0,0.0,0.0,0.0,0.0,0,24.79,1.51,105.07,6.31,7.97,11.28,0,89.34,9210000000.0,10120000000.0,20.19,1.26,1.66,15.13,6100000000.0,2550000000.0,669040000.0,384850000.0,5.48,91.70,15.00,133289999.99999999,1.99,1130000000.0,0.98,1.29,607250000.0,-0.02,0.92,105.21,5370000.0,5.39,8.95,5510000.0
